spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
1.0,3.0,0.006,0.025,0.015,12,2.7222,0.231,0.0638,41.46,41,2.0691,1.7522,-0.6
1.0,3.0,0.006,0.025,0.005,12,2.7222,0.077,0.0213,41.46,41,2.0687,1.7522,-0.6
1.0,3.0,0.006,0.025,0.01,12,2.7222,0.1539,0.0425,41.46,41,2.0689,1.7522,-0.6
1.0,3.0,0.006,0.025,0.02,12,2.7222,0.3081,0.085,41.46,41,2.0693,1.7522,-0.6
1.0,3.0,0.007,0.025,0.015,12,2.6969,0.243,0.0773,43.9,41,2.0062,1.7937,-0.7
1.0,3.0,0.007,0.025,0.01,12,2.6969,0.162,0.0515,43.9,41,2.0059,1.7937,-0.7
1.0,3.0,0.007,0.025,0.02,12,2.6969,0.3241,0.103,43.9,41,2.0064,1.7937,-0.7
1.0,3.0,0.007,0.025,0.005,12,2.6969,0.081,0.0258,43.9,41,2.0056,1.7937,-0.7
1.0,3.0,0.006,0.02,0.005,12,2.6873,0.0715,0.0213,41.46,41,1.9925,1.6876,-0.6
1.0,3.0,0.006,0.02,0.015,12,2.6873,0.2145,0.0638,41.46,41,1.9928,1.6876,-0.6
1.0,3.0,0.006,0.02,0.02,12,2.6873,0.2861,0.085,41.46,41,1.993,1.6876,-0.6
1.0,3.0,0.006,0.02,0.01,12,2.6873,0.143,0.0425,41.46,41,1.9926,1.6876,-0.6
1.0,3.0,0.007,0.02,0.005,36,2.6504,0.0779,0.035,41.46,41,1.9271,1.9041,-0.7
1.0,3.0,0.007,0.02,0.01,36,2.6504,0.1558,0.07,41.46,41,1.9274,1.9041,-0.7
1.0,3.0,0.007,0.02,0.015,36,2.6504,0.2337,0.105,41.46,41,1.9276,1.9041,-0.7
1.0,3.0,0.007,0.02,0.02,36,2.6504,0.3117,0.1399,41.46,41,1.9279,1.9041,-0.7
0.75,3.0,0.006,0.025,0.02,12,2.6381,0.3238,0.073,40.38,52,1.8925,1.6335,-0.5849
0.75,3.0,0.006,0.025,0.01,12,2.6381,0.1618,0.0365,40.38,52,1.8922,1.6335,-0.5849
0.75,3.0,0.006,0.025,0.015,12,2.6381,0.2428,0.0548,40.38,52,1.8923,1.6335,-0.5849
0.75,3.0,0.006,0.025,0.005,12,2.6381,0.0809,0.0183,40.38,52,1.892,1.6335,-0.5849
1.0,3.0,0.005,0.02,0.02,12,2.6217,0.265,0.07,36.59,41,2.0187,1.7491,-0.5
1.0,3.0,0.005,0.02,0.015,12,2.6217,0.1987,0.0525,36.59,41,2.0186,1.7491,-0.5
1.0,3.0,0.005,0.02,0.005,12,2.6217,0.0662,0.0175,36.59,41,2.0184,1.7491,-0.5
1.0,3.0,0.005,0.02,0.01,12,2.6217,0.1324,0.035,36.59,41,2.0185,1.7491,-0.5
0.75,3.0,0.006,0.02,0.005,12,2.6096,0.0757,0.0183,40.38,52,1.8351,1.5845,-0.5849
0.75,3.0,0.006,0.02,0.02,12,2.6096,0.3031,0.073,40.38,52,1.8356,1.5845,-0.5849
0.75,3.0,0.006,0.02,0.01,12,2.6096,0.1515,0.0365,40.38,52,1.8353,1.5845,-0.5849
0.75,3.0,0.006,0.02,0.015,12,2.6096,0.2273,0.0548,40.38,52,1.8355,1.5845,-0.5849
1.0,3.0,0.005,0.025,0.005,12,2.6027,0.0692,0.0175,36.59,41,2.0644,1.789,-0.5
1.0,3.0,0.005,0.025,0.02,12,2.6027,0.277,0.07,36.59,41,2.0647,1.789,-0.5
1.0,3.0,0.005,0.025,0.01,12,2.6027,0.1384,0.035,36.59,41,2.0645,1.789,-0.5
1.0,3.0,0.005,0.025,0.015,12,2.6027,0.2077,0.0525,36.59,41,2.0646,1.789,-0.5
1.0,3.0,0.007,0.02,0.01,12,2.6019,0.146,0.0515,43.9,41,1.9066,1.7049,-0.7
1.0,3.0,0.007,0.02,0.005,12,2.6019,0.073,0.0258,43.9,41,1.9064,1.7049,-0.7
1.0,3.0,0.007,0.02,0.015,12,2.6019,0.219,0.0773,43.9,41,1.9068,1.7049,-0.7
1.0,3.0,0.007,0.02,0.02,12,2.6019,0.2921,0.103,43.9,41,1.907,1.7049,-0.7
0.5,3.0,0.006,0.025,0.015,12,2.5441,0.2435,0.0818,41.27,63,1.7467,1.4597,-0.5874
0.5,3.0,0.006,0.025,0.01,12,2.5441,0.1623,0.0545,41.27,63,1.7466,1.4597,-0.5874
0.5,3.0,0.006,0.025,0.005,12,2.5441,0.0811,0.0273,41.27,63,1.7464,1.4597,-0.5874
0.5,3.0,0.006,0.025,0.02,12,2.5441,0.3247,0.109,41.27,63,1.7468,1.4597,-0.5874
0.75,3.0,0.007,0.025,0.015,12,2.5179,0.2458,0.0668,42.31,52,1.8018,1.6729,-0.6811
0.75,3.0,0.007,0.025,0.01,12,2.5179,0.1638,0.0445,42.31,52,1.8016,1.6729,-0.6811
0.75,3.0,0.007,0.025,0.02,12,2.5179,0.3278,0.089,42.31,52,1.8021,1.6729,-0.6811
0.75,3.0,0.007,0.025,0.005,12,2.5179,0.0819,0.0223,42.31,52,1.8014,1.6729,-0.6811
0.5,3.0,0.006,0.02,0.02,12,2.5079,0.3041,0.109,41.27,63,1.6994,1.4201,-0.5874
0.5,3.0,0.006,0.02,0.005,12,2.5079,0.076,0.0273,41.27,63,1.699,1.4201,-0.5874
0.5,3.0,0.006,0.02,0.01,12,2.5079,0.152,0.0545,41.27,63,1.6991,1.4201,-0.5874
0.5,3.0,0.006,0.02,0.015,12,2.5079,0.228,0.0818,41.27,63,1.6993,1.4201,-0.5874
0.5,3.0,0.007,0.025,0.02,12,2.4506,0.3307,0.1427,43.55,62,1.6909,1.4982,-0.6838
0.5,3.0,0.007,0.025,0.015,12,2.4506,0.248,0.107,43.55,62,1.6907,1.4982,-0.6838
0.5,3.0,0.007,0.025,0.005,12,2.4506,0.0826,0.0357,43.55,62,1.6904,1.4982,-0.6838
0.5,3.0,0.007,0.025,0.01,12,2.4506,0.1653,0.0714,43.55,62,1.6906,1.4982,-0.6838
1.0,3.0,0.007,0.02,0.02,48,2.4484,0.2903,0.1399,39.02,41,1.8295,2.0,-0.7
1.0,3.0,0.007,0.02,0.015,48,2.4484,0.2177,0.105,39.02,41,1.8293,2.0,-0.7
1.0,3.0,0.007,0.02,0.01,48,2.4484,0.1451,0.07,39.02,41,1.829,2.0,-0.7
1.0,3.0,0.007,0.02,0.005,48,2.4484,0.0725,0.035,39.02,41,1.8288,2.0,-0.7
0.75,3.0,0.007,0.02,0.01,12,2.4266,0.1485,0.0445,42.31,52,1.7267,1.6033,-0.6811
0.75,3.0,0.007,0.02,0.015,12,2.4266,0.2228,0.0668,42.31,52,1.7268,1.6033,-0.6811
0.75,3.0,0.007,0.02,0.005,12,2.4266,0.0742,0.0223,42.31,52,1.7265,1.6033,-0.6811
0.75,3.0,0.007,0.02,0.02,12,2.4266,0.2971,0.089,42.31,52,1.727,1.6033,-0.6811
0.5,3.0,0.005,0.02,0.01,12,2.3802,0.1376,0.0449,34.92,63,1.6832,1.5403,-0.4911
0.5,3.0,0.005,0.02,0.02,12,2.3802,0.2753,0.0899,34.92,63,1.6833,1.5403,-0.4911
0.5,3.0,0.005,0.02,0.015,12,2.3802,0.2064,0.0674,34.92,63,1.6832,1.5403,-0.4911
0.5,3.0,0.005,0.02,0.005,12,2.3802,0.0688,0.0225,34.92,63,1.6831,1.5403,-0.4911
1.0,3.0,0.007,0.02,0.015,24,2.3761,0.2055,0.105,41.46,41,1.8155,1.7936,-0.7
1.0,3.0,0.007,0.02,0.02,24,2.3761,0.274,0.1399,41.46,41,1.8157,1.7936,-0.7
1.0,3.0,0.007,0.02,0.005,24,2.3761,0.0685,0.035,41.46,41,1.8151,1.7936,-0.7
1.0,3.0,0.007,0.02,0.01,24,2.3761,0.137,0.07,41.46,41,1.8153,1.7936,-0.7
0.5,3.0,0.005,0.025,0.01,12,2.3682,0.1429,0.0435,34.92,63,1.7095,1.5644,-0.4911
0.5,3.0,0.005,0.025,0.015,12,2.3682,0.2144,0.0653,34.92,63,1.7096,1.5644,-0.4911
0.5,3.0,0.005,0.025,0.02,12,2.3682,0.2859,0.087,34.92,63,1.7096,1.5644,-0.4911
0.5,3.0,0.005,0.025,0.005,12,2.3682,0.0714,0.0218,34.92,63,1.7095,1.5644,-0.4911
0.75,3.0,0.005,0.02,0.01,12,2.3569,0.1311,0.0285,32.69,52,1.765,1.7787,-0.4895
0.75,3.0,0.005,0.02,0.005,12,2.3569,0.0655,0.0143,32.69,52,1.7649,1.7787,-0.4895
0.75,3.0,0.005,0.02,0.015,12,2.3569,0.1967,0.0428,32.69,52,1.7651,1.7787,-0.4895
0.75,3.0,0.005,0.02,0.02,12,2.3569,0.2623,0.0571,32.69,52,1.7652,1.7787,-0.4895
0.5,3.0,0.007,0.02,0.015,12,2.3554,0.225,0.1101,43.55,62,1.6267,1.4416,-0.6838
0.5,3.0,0.007,0.02,0.01,12,2.3554,0.15,0.0734,43.55,62,1.6266,1.4416,-0.6838
0.5,3.0,0.007,0.02,0.02,12,2.3554,0.3001,0.1468,43.55,62,1.6268,1.4416,-0.6838
0.5,3.0,0.007,0.02,0.005,12,2.3554,0.075,0.0367,43.55,62,1.6264,1.4416,-0.6838
0.75,3.0,0.005,0.025,0.01,12,2.3423,0.1364,0.0285,32.69,52,1.796,1.8099,-0.4895
0.75,3.0,0.005,0.025,0.02,12,2.3423,0.2729,0.0571,32.69,52,1.7961,1.8099,-0.4895
0.75,3.0,0.005,0.025,0.005,12,2.3423,0.0682,0.0143,32.69,52,1.7959,1.8099,-0.4895
0.75,3.0,0.005,0.025,0.015,12,2.3423,0.2046,0.0428,32.69,52,1.796,1.8099,-0.4895
1.0,3.0,0.006,0.02,0.01,36,2.3185,0.1278,0.06,36.59,41,1.8189,1.8914,-0.6
1.0,3.0,0.006,0.02,0.005,36,2.3185,0.0639,0.03,36.59,41,1.8187,1.8914,-0.6
1.0,3.0,0.006,0.02,0.02,36,2.3185,0.2556,0.1199,36.59,41,1.8191,1.8914,-0.6
1.0,3.0,0.006,0.02,0.015,36,2.3185,0.1917,0.09,36.59,41,1.819,1.8914,-0.6
1.0,3.0,0.007,0.025,0.02,24,2.3032,0.2967,0.1399,39.02,41,1.8477,2.0202,-0.7
1.0,3.0,0.007,0.025,0.015,24,2.3032,0.2225,0.105,39.02,41,1.8475,2.0202,-0.7
1.0,3.0,0.007,0.025,0.01,24,2.3032,0.1483,0.07,39.02,41,1.8473,2.0202,-0.7
1.0,3.0,0.007,0.025,0.005,24,2.3032,0.0741,0.035,39.02,41,1.8472,2.0202,-0.7
1.0,3.0,0.005,0.02,0.02,36,2.294,0.2402,0.1,31.71,41,1.8574,2.0,-0.5
1.0,3.0,0.005,0.02,0.005,48,2.294,0.06,0.025,31.71,41,1.8572,2.0,-0.5
1.0,3.0,0.005,0.02,0.015,24,2.294,0.1801,0.075,31.71,41,1.8574,2.0,-0.5
1.0,3.0,0.005,0.02,0.015,36,2.294,0.1801,0.075,31.71,41,1.8574,2.0,-0.5
1.0,3.0,0.005,0.02,0.005,36,2.294,0.06,0.025,31.71,41,1.8572,2.0,-0.5
1.0,3.0,0.005,0.02,0.01,24,2.294,0.12,0.05,31.71,41,1.8573,2.0,-0.5
1.0,3.0,0.005,0.02,0.015,48,2.294,0.1801,0.075,31.71,41,1.8574,2.0,-0.5
1.0,3.0,0.005,0.02,0.02,24,2.294,0.2402,0.1,31.71,41,1.8574,2.0,-0.5
1.0,3.0,0.005,0.02,0.01,36,2.294,0.12,0.05,31.71,41,1.8573,2.0,-0.5
