spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
1.5,3.0,0.004,0.025,0.005,12,0.7431,0.0169,0.0356,18.92,37,1.2823,2.1982,-0.4
1.5,3.0,0.004,0.025,0.01,12,0.7431,0.0339,0.0711,18.92,37,1.2822,2.1982,-0.4
1.5,3.0,0.004,0.025,0.02,12,0.7431,0.0677,0.1422,18.92,37,1.2822,2.1982,-0.4
1.5,3.0,0.004,0.025,0.015,12,0.7431,0.0508,0.1066,18.92,37,1.2822,2.1982,-0.4
1.5,3.0,0.004,0.02,0.01,12,0.6954,0.0279,0.0641,21.62,37,1.2403,1.7984,-0.4
1.5,3.0,0.004,0.02,0.005,12,0.6954,0.0139,0.0321,21.62,37,1.2403,1.7984,-0.4
1.5,3.0,0.004,0.02,0.015,12,0.6954,0.0418,0.0962,21.62,37,1.2402,1.7984,-0.4
1.5,3.0,0.004,0.02,0.02,12,0.6954,0.0557,0.1282,21.62,37,1.2402,1.7984,-0.4
1.5,3.0,0.004,0.025,0.01,36,0.5694,0.026,0.079,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.005,48,0.5694,0.013,0.0395,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.005,24,0.5694,0.013,0.0395,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.005,36,0.5694,0.013,0.0395,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.015,48,0.5694,0.039,0.1184,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.02,36,0.5694,0.0519,0.1579,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.01,24,0.5694,0.026,0.079,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.015,24,0.5694,0.039,0.1184,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.02,48,0.5694,0.0519,0.1579,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.01,48,0.5694,0.026,0.079,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.015,36,0.5694,0.039,0.1184,16.22,37,1.2096,2.5,-0.4
1.5,3.0,0.004,0.025,0.02,24,0.5694,0.0519,0.1579,16.22,37,1.2096,2.5,-0.4
0.5,1.5,0.003,0.025,0.02,48,0.551,0.1494,0.5327,11.27,479,1.0584,2.5,-0.3
0.5,1.5,0.003,0.025,0.005,48,0.551,0.0375,0.1334,11.27,479,1.0587,2.5,-0.3
0.5,1.5,0.003,0.025,0.015,48,0.551,0.1121,0.3998,11.27,479,1.0585,2.5,-0.3
0.5,1.5,0.003,0.025,0.01,48,0.551,0.0748,0.2667,11.27,479,1.0586,2.5,-0.3
0.5,1.5,0.004,0.025,0.01,12,0.5386,0.0791,0.27,17.78,478,1.0505,1.9341,-0.3981
0.5,1.5,0.004,0.025,0.02,12,0.5386,0.1577,0.5394,17.78,478,1.0503,1.9341,-0.3981
0.5,1.5,0.004,0.025,0.015,12,0.5386,0.1184,0.4048,17.78,478,1.0504,1.9341,-0.3981
0.5,1.5,0.004,0.025,0.005,12,0.5386,0.0396,0.1351,17.78,478,1.0506,1.9341,-0.3981
