spike_threshold_pct,bb_std_multiplier,sl_pct,tp_pct,position_size_pct,max_hold_hours,sharpe,return_pct,max_dd_pct,win_rate,num_trades,profit_factor,avg_win_pct,avg_loss_pct
0.5,1.0,0.003,0.015,0.015,12,2.299,0.4776,0.1754,19.44,792,1.1659,1.4493,-0.3
0.5,1.0,0.003,0.015,0.005,12,2.299,0.159,0.0585,19.44,792,1.166,1.4493,-0.3
0.5,1.0,0.003,0.015,0.01,12,2.299,0.3182,0.1169,19.44,792,1.166,1.4493,-0.3
0.5,1.0,0.003,0.015,0.02,12,2.299,0.6371,0.2337,19.44,792,1.1658,1.4493,-0.3
0.5,1.0,0.003,0.025,0.01,12,2.1784,0.3804,0.1139,13.83,752,1.1955,2.232,-0.2996
0.5,1.0,0.003,0.025,0.005,12,2.1784,0.1901,0.057,13.83,752,1.1956,2.232,-0.2996
0.5,1.0,0.003,0.025,0.02,12,2.1784,0.7616,0.2277,13.83,752,1.1953,2.232,-0.2996
0.5,1.0,0.003,0.025,0.015,12,2.1784,0.5709,0.1709,13.83,752,1.1954,2.232,-0.2996
0.5,1.0,0.003,0.015,0.015,48,2.0989,0.437,0.1754,18.71,791,1.1506,1.5,-0.3
0.5,1.0,0.003,0.015,0.01,48,2.0989,0.2912,0.1169,18.71,791,1.1507,1.5,-0.3
0.5,1.0,0.003,0.015,0.01,36,2.0989,0.2912,0.1169,18.71,791,1.1507,1.5,-0.3
0.5,1.0,0.003,0.015,0.005,48,2.0989,0.1456,0.0585,18.71,791,1.1508,1.5,-0.3
0.5,1.0,0.003,0.015,0.005,36,2.0989,0.1456,0.0585,18.71,791,1.1508,1.5,-0.3
0.5,1.0,0.003,0.015,0.02,48,2.0989,0.5829,0.2337,18.71,791,1.1506,1.5,-0.3
0.5,1.0,0.003,0.015,0.02,36,2.0989,0.5829,0.2337,18.71,791,1.1506,1.5,-0.3
0.5,1.0,0.003,0.015,0.015,36,2.0989,0.437,0.1754,18.71,791,1.1506,1.5,-0.3
0.5,1.0,0.003,0.025,0.01,48,2.0801,0.3694,0.1139,12.48,745,1.1884,2.5,-0.3
0.5,1.0,0.003,0.025,0.02,48,2.0801,0.7394,0.2277,12.48,745,1.1881,2.5,-0.3
0.5,1.0,0.003,0.025,0.015,48,2.0801,0.5543,0.1709,12.48,745,1.1883,2.5,-0.3
0.5,1.0,0.003,0.025,0.005,48,2.0801,0.1846,0.057,12.48,745,1.1885,2.5,-0.3
0.5,1.0,0.003,0.015,0.005,24,2.0737,0.1435,0.0585,18.84,791,1.1488,1.4851,-0.3
0.5,1.0,0.003,0.015,0.02,24,2.0737,0.5745,0.2337,18.84,791,1.1486,1.4851,-0.3
0.5,1.0,0.003,0.015,0.01,24,2.0737,0.287,0.1169,18.84,791,1.1488,1.4851,-0.3
0.5,1.0,0.003,0.015,0.015,24,2.0737,0.4307,0.1754,18.84,791,1.1487,1.4851,-0.3
0.5,1.0,0.003,0.025,0.01,36,2.0046,0.3535,0.1139,12.62,745,1.1806,2.4534,-0.3
0.5,1.0,0.003,0.025,0.005,36,2.0046,0.1767,0.057,12.62,745,1.1807,2.4534,-0.3
0.5,1.0,0.003,0.025,0.02,36,2.0046,0.7077,0.2277,12.62,745,1.1804,2.4534,-0.3
0.5,1.0,0.003,0.025,0.015,36,2.0046,0.5305,0.1709,12.62,745,1.1805,2.4534,-0.3
0.5,1.0,0.003,0.025,0.005,24,1.9705,0.1736,0.057,12.7,748,1.177,2.4274,-0.3
0.5,1.0,0.003,0.025,0.02,24,1.9705,0.6952,0.2277,12.7,748,1.1767,2.4274,-0.3
0.5,1.0,0.003,0.025,0.01,24,1.9705,0.3473,0.1139,12.7,748,1.1769,2.4274,-0.3
0.5,1.0,0.003,0.025,0.015,24,1.9705,0.5212,0.1709,12.7,748,1.1768,2.4274,-0.3
0.5,1.0,0.003,0.02,0.005,12,1.9662,0.1537,0.057,15.78,767,1.1587,1.8534,-0.2996
0.5,1.0,0.003,0.02,0.015,12,1.9662,0.4614,0.1709,15.78,767,1.1585,1.8534,-0.2996
0.5,1.0,0.003,0.02,0.01,12,1.9662,0.3075,0.1139,15.78,767,1.1586,1.8534,-0.2996
0.5,1.0,0.003,0.02,0.02,12,1.9662,0.6154,0.2278,15.78,767,1.1585,1.8534,-0.2996
0.5,1.0,0.003,0.02,0.015,48,1.659,0.3917,0.1709,14.53,764,1.133,2.0,-0.3
0.5,1.0,0.003,0.02,0.02,48,1.659,0.5224,0.2278,14.53,764,1.1329,2.0,-0.3
0.5,1.0,0.003,0.02,0.005,48,1.659,0.1305,0.057,14.53,764,1.1331,2.0,-0.3
0.5,1.0,0.003,0.02,0.01,48,1.659,0.2611,0.1139,14.53,764,1.1331,2.0,-0.3
0.5,1.0,0.003,0.02,0.01,36,1.6129,0.2532,0.1139,14.53,764,1.129,1.9929,-0.3
0.5,1.0,0.003,0.02,0.005,36,1.6129,0.1266,0.057,14.53,764,1.1291,1.9929,-0.3
0.5,1.0,0.003,0.02,0.015,36,1.6129,0.3798,0.1709,14.53,764,1.129,1.9929,-0.3
0.5,1.0,0.003,0.02,0.02,36,1.6129,0.5065,0.2278,14.53,764,1.1289,1.9929,-0.3
0.5,1.0,0.003,0.02,0.01,24,1.5871,0.2489,0.1139,14.64,765,1.1268,1.9712,-0.3
0.5,1.0,0.003,0.02,0.015,24,1.5871,0.3733,0.1709,14.64,765,1.1267,1.9712,-0.3
0.5,1.0,0.003,0.02,0.02,24,1.5871,0.4978,0.2278,14.64,765,1.1267,1.9712,-0.3
